time,x,y,z,vx,vy,vz,num_table_contacts
3.714583333333333126e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.716666666666666785e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.718750000000000000e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.720833333333333215e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.722916666666666430e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.725000000000000089e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.982604390935391236e-17,-4.579050527163580535e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.727083333333333304e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.990465807903510569e-17,-4.574411398494963325e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.729166666666666519e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.992512199242567233e-17,-4.573203795238866957e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.731249999999999734e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.993044891698589805e-17,-4.572889446203023006e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.733333333333333393e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.993183555915588208e-17,-4.582806406082027546e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.735416666666666607e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.993219651349001637e-17,-4.590489294306464381e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.737499999999999822e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.993229047286478634e-17,-4.592489213148726691e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.739583333333333481e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.993231493126097207e-17,-4.593009808432531701e-17,-4.369074546595186348e-14,1.000000000000000000e+00
