time,soft_z_min,soft_z_max,soft_z_span,soft_xy_radius,soft_center_x,soft_center_y,soft_center_z
1.416666666666666741e+00,7.559991261979333022e-01,9.913896364001733019e-01,2.353905102022399998e-01,1.787155209640331477e-01,-3.132413815680044900e-03,9.795885820106759682e-04,8.507751216479005896e-01
1.433333333333333348e+00,7.559993177976024326e-01,9.909869869687102373e-01,2.349876691711078047e-01,1.788195939466594997e-01,-3.137417013175406496e-03,9.740175901611842265e-04,8.505305294534113436e-01
1.449999999999999956e+00,7.559994673769991902e-01,9.905842037575310899e-01,2.345847363805318997e-01,1.789226200855247861e-01,-3.142038871034181623e-03,9.682708825151874719e-04,8.502854628067086917e-01
1.466666666666666563e+00,7.559903345927179164e-01,9.901812952185303773e-01,2.341909606258124610e-01,1.790246008977993963e-01,-3.146537118327627242e-03,9.620065746905342606e-04,8.500401240509183332e-01
1.483333333333333393e+00,7.559924537557290991e-01,9.897788533990315996e-01,2.337863996433025005e-01,1.791254314281091053e-01,-3.150920669405302653e-03,9.550624729860921446e-04,8.497950225456958329e-01
1.500000000000000000e+00,7.559941082632755105e-01,9.893760943567910804e-01,2.333819860935155699e-01,1.792252440527167812e-01,-3.154856541565095440e-03,9.482618077130823379e-04,8.495493039067897323e-01
1.516666666666666607e+00,7.559954000619348857e-01,9.889727166729462837e-01,2.329773166110113980e-01,1.793240496073399970e-01,-3.158502225558802202e-03,9.414850706829991020e-04,8.493027485194880599e-01
1.533333333333333215e+00,7.559964085863459804e-01,9.885686097623543889e-01,2.325722011760084085e-01,1.794218372204493539e-01,-3.161848824244578061e-03,9.346738849793955525e-04,8.490552824655590580e-01
1.550000000000000044e+00,7.559836775860329094e-01,9.881636583375925653e-01,2.321799807515596559e-01,1.795114490535872076e-01,-3.177058755818927809e-03,9.344880383692416234e-04,8.488067232529716843e-01
1.566666666666666652e+00,7.559839647975516996e-01,9.877574311471519763e-01,2.317734663496002767e-01,1.796060848110777319e-01,-3.184541624853548612e-03,9.314926811561581891e-04,8.485568051046766813e-01
1.583333333333333259e+00,7.559874805498407735e-01,9.873510265352580806e-01,2.313635459854173071e-01,1.797015180729097661e-01,-3.187172992613250544e-03,9.265065035444455159e-04,8.483065428321147072e-01
1.600000000000000089e+00,7.559902254764411245e-01,9.869436214855932255e-01,2.309533960091521010e-01,1.797959612141929175e-01,-3.188701050927261488e-03,9.209303030682581322e-04,8.480550195909170030e-01
1.616666666666666696e+00,7.559923685257867731e-01,9.865351332302820797e-01,2.305427647044953066e-01,1.798894784640648892e-01,-3.189924458339571389e-03,9.156608707983699335e-04,8.478024274909639058e-01
1.633333333333333304e+00,7.559920913277483612e-01,9.861254653709674578e-01,2.301333740432190966e-01,1.799820526926692588e-01,-3.191134687258425934e-03,9.101230696311304923e-04,8.475485819309956925e-01
1.649999999999999911e+00,7.559924571334017962e-01,9.857146162113196164e-01,2.297221590779178202e-01,1.800736092884099304e-01,-3.191885639920137487e-03,9.047213846180255118e-04,8.472935944172284017e-01
1.666666666666666741e+00,7.559941109025316575e-01,9.853024877900026235e-01,2.293083768874709660e-01,1.801644317023236297e-01,-3.191913186385871796e-03,8.979951592293360530e-04,8.470372970272846969e-01
1.683333333333333348e+00,7.559954021156426451e-01,9.848889802671032534e-01,2.288935781514606083e-01,1.802542315477589918e-01,-3.191745196274736653e-03,8.916049103547763139e-04,8.467796193422504336e-01
1.699999999999999956e+00,7.559820562967924928e-01,9.844737817316898676e-01,2.284917254348973747e-01,1.803428844934169550e-01,-3.191627970813890915e-03,8.847896191862402327e-04,8.465201513167481817e-01
1.716666666666666563e+00,7.559859904804346886e-01,9.840571321733715404e-01,2.280711416929368518e-01,1.804305401291870226e-01,-3.191518382390079196e-03,8.783200389911602693e-04,8.462594561767144974e-01
1.733333333333333393e+00,7.559890620894457181e-01,9.836392391399114699e-01,2.276501770504657518e-01,1.805172916945190498e-01,-3.190974807257326157e-03,8.717316735201808631e-04,8.459975179838302717e-01
1.750000000000000000e+00,7.559840066706859929e-01,9.832196404693738234e-01,2.272356337986878305e-01,1.806030126122057655e-01,-3.190279612174574345e-03,8.649377286605284838e-04,8.457337580213710737e-01
1.766666666666666607e+00,7.559875132047112478e-01,9.827981926863225137e-01,2.268106794816112659e-01,1.806882067567220918e-01,-3.190120017980605568e-03,8.585155962073385064e-04,8.454684452492520208e-01
1.783333333333333215e+00,7.559902509580523899e-01,9.823597428078673088e-01,2.263694918498149189e-01,1.807733510439528679e-01,-3.191726134448959543e-03,8.535456229896154490e-04,8.451778728481692537e-01
1.800000000000000044e+00,7.559923884464255783e-01,9.819005328411845035e-01,2.259081443947589252e-01,1.808570612754660245e-01,-3.192455288206193578e-03,8.497864594034935980e-04,8.448897291737125226e-01
1.816666666666666652e+00,7.559714910035952862e-01,9.814686351562238453e-01,2.254971441526285592e-01,1.809407023053814234e-01,-3.191085437178976369e-03,8.443399337991416842e-04,8.446120377984526195e-01
1.833333333333333259e+00,7.559777416254098714e-01,9.810354275262864743e-01,2.250576859008766029e-01,1.810250647788475831e-01,-3.185027969853227239e-03,8.353968551630560051e-04,8.443403015871078221e-01
1.849999999999999867e+00,7.559826218147543964e-01,9.806153973154785319e-01,2.246327755007241356e-01,1.811082870690401136e-01,-3.178587956476805389e-03,8.268930222344157916e-04,8.440766897447339323e-01
1.866666666666666696e+00,7.559864319777340746e-01,9.801964976454279332e-01,2.242100656676938586e-01,1.811890754964564088e-01,-3.173883490643753663e-03,8.216827303770821763e-04,8.438131960270511822e-01
1.883333333333333304e+00,7.559834902921254152e-01,9.797764503267519798e-01,2.237929600346265646e-01,1.812708184753354934e-01,-3.167170408069261943e-03,8.192403601006596281e-04,8.435484086997868669e-01
1.899999999999999911e+00,7.559871100956510048e-01,9.793551051056099688e-01,2.233679950099589639e-01,1.813511297170520287e-01,-3.160550884416564107e-03,8.174933676660430925e-04,8.432825828074573815e-01
1.916666666666666741e+00,7.559899362114170795e-01,9.789324580553604438e-01,2.229425218439433642e-01,1.814296930949825248e-01,-3.154495207126300702e-03,8.155758989378521315e-04,8.430154587922547016e-01
1.933333333333333348e+00,7.559921427198926791e-01,9.785082462003197312e-01,2.225161034804270521e-01,1.815064298376243279e-01,-3.149312386088522295e-03,8.137940257699856003e-04,8.427468633875520032e-01
1.949999999999999956e+00,7.559854640012619864e-01,9.780822160553216404e-01,2.220967520540596540e-01,1.815812997852390698e-01,-3.144875717998432945e-03,8.120534802807303056e-04,8.424765422647946256e-01
1.966666666666666563e+00,7.559886510272060267e-01,9.776546008074635807e-01,2.216659497802575540e-01,1.816544694812231298e-01,-3.141335552952394684e-03,8.105620220696350964e-04,8.422048195751603572e-01
1.983333333333333393e+00,7.559911393071120367e-01,9.772252561125424064e-01,2.212341168054303697e-01,1.817259310870893985e-01,-3.138642380016952449e-03,8.090604945654083840e-04,8.419314753684914443e-01
2.000000000000000000e+00,7.559676837041194863e-01,9.767934997540570485e-01,2.208258160499375622e-01,1.817957839813073018e-01,-3.136786984009337035e-03,8.066632655924693479e-04,8.416557099222772287e-01
2.016666666666666607e+00,7.559747690820304289e-01,9.763501161152643437e-01,2.203753470332339148e-01,1.818636982093066179e-01,-3.136312213556868411e-03,8.023189930679885170e-04,8.413684334289631694e-01
2.033333333333333215e+00,7.559803009872366752e-01,9.758651170514025530e-01,2.198848160641658778e-01,1.819297685231968109e-01,-3.136689347115530994e-03,7.962489037593151577e-04,8.410431240691230714e-01
2.049999999999999822e+00,7.559846200149942241e-01,9.754209997444529545e-01,2.194363797294587304e-01,1.819948879512988671e-01,-3.137885158328571587e-03,7.890475957402406362e-04,8.407637759753411322e-01
2.066666666666666430e+00,7.559853157654000677e-01,9.749947471519586628e-01,2.190094313865585951e-01,1.820583629557184224e-01,-3.139504995874081543e-03,7.839686966241275366e-04,8.404938644296863215e-01
2.083333333333333481e+00,7.559885352845461259e-01,9.745705979286377607e-01,2.185820626440916348e-01,1.821201019248061825e-01,-3.140734994565796100e-03,7.816999148516092476e-04,8.402247723331627283e-01
2.100000000000000089e+00,7.559910489396384214e-01,9.741460079082264745e-01,2.181549589685880530e-01,1.821802523608931912e-01,-3.141985796723222903e-03,7.811331116106026403e-04,8.399549898817955107e-01
2.116666666666666696e+00,7.559930114535483581e-01,9.737204829070724710e-01,2.177274714535241129e-01,1.822388907482118958e-01,-3.143362481101134431e-03,7.815792764558116045e-04,8.396842203979001384e-01
2.133333333333333304e+00,7.559945436978551259e-01,9.732938685526776323e-01,2.172993248548225065e-01,1.822960248796456628e-01,-3.144815464935782172e-03,7.832698258690699205e-04,8.394123552353368600e-01
2.149999999999999911e+00,7.559957400167615083e-01,9.728547098478699251e-01,2.168589698311084168e-01,1.823516535053007204e-01,-3.146246887440690924e-03,7.865507165253365776e-04,8.391281820805416292e-01
2.166666666666666519e+00,7.559966740086719872e-01,9.724266956257071604e-01,2.164300216170351732e-01,1.824059605167279441e-01,-3.147794777693107594e-03,7.911996276217011636e-04,8.388568310379838078e-01
2.183333333333333126e+00,7.559974032369485286e-01,9.720026035820520383e-01,2.160052003451035096e-01,1.824589805626357919e-01,-3.149741897129102949e-03,7.969569561621418991e-04,8.385870793103437082e-01
2.200000000000000178e+00,7.559979725747696389e-01,9.715778469661522365e-01,2.155798743913825977e-01,1.825109508723410656e-01,-3.152480327536724778e-03,8.036095898628757171e-04,8.383163777941093908e-01
2.216666666666666785e+00,7.559984170794978864e-01,9.711516796554759967e-01,2.151532625759781103e-01,1.825616757748740604e-01,-3.155759350547754187e-03,8.113969408734522095e-04,8.380443128683091603e-01
2.233333333333333393e+00,7.559987641292686966e-01,9.706956086350785329e-01,2.146968445058098363e-01,1.826098597098499143e-01,-3.160163271079729965e-03,8.212849401792955608e-04,8.377461952708191717e-01
2.250000000000000000e+00,7.559990351295811095e-01,9.702673548556546290e-01,2.142683197260735195e-01,1.826566441076563074e-01,-3.165313717243335798e-03,8.327119400727177800e-04,8.374742104025075795e-01
2.266666666666666607e+00,7.559992466919794873e-01,9.698443071171690688e-01,2.138450604251895815e-01,1.827027567602172442e-01,-3.170152533205980970e-03,8.469951948331677378e-04,8.372046695408971173e-01
2.283333333333333215e+00,7.559972859919094068e-01,9.694213617842494246e-01,2.134240757923400178e-01,1.827481752935007087e-01,-3.174590048995221212e-03,8.623803274424235920e-04,8.369347750326445734e-01
2.299999999999999822e+00,7.559978810487162360e-01,9.689976777764097715e-01,2.129997967276935356e-01,1.827928461179156305e-01,-3.178599965102318643e-03,8.784469813429169336e-04,8.366640639239933952e-01
2.316666666666666430e+00,7.559983455980981981e-01,9.685730474740938956e-01,2.125747018759956974e-01,1.828368210794131810e-01,-3.182384248739904449e-03,8.952513863971786959e-04,8.363923993447883731e-01
2.333333333333333481e+00,7.559944482102319840e-01,9.681473531448453462e-01,2.121529049346133622e-01,1.828800057996752826e-01,-3.185680696055423998e-03,9.129060688894885187e-04,8.361196785731623837e-01
