time,object_a_x,object_a_y,object_a_z,object_a_vx,object_a_vy,object_a_vz,object_b_x,object_b_y,object_b_z,object_b_vx,object_b_vy,object_b_vz,total_translational_ke,total_px,total_py
1.272222222222222365e+00,-2.360613082889387038e-01,-2.884090121827642883e-07,7.749915121937772655e-01,-2.264553642188821270e-01,-2.972942692195204582e-07,6.920612676680759634e-10,1.043481269909837028e+00,4.178771242074177523e-07,6.053135732452055717e-02,1.009104903974843648e+00,-6.990606266884105781e-07,3.574808662703554685e-01,3.669024974854089710e-02,4.016531145879122244e-02,-6.870012183106146798e-08
1.275000000000000133e+00,-2.366902639780238404e-01,-2.892347154628399855e-07,7.749915121956997277e-01,-2.264136099162951943e-01,-2.972394854338784044e-07,6.920854635911188879e-10,1.046283855804982066e+00,4.159356239288134574e-07,6.146743924983383289e-02,1.008873018633422936e+00,-6.988999873817786578e-07,3.301595884731221564e-01,3.611174417162608952e-02,4.015515622553880726e-02,-6.868555293195576898e-08
1.277777777777777901e+00,-2.373191036969770906e-01,-2.900602665841662281e-07,7.749915121976224119e-01,-2.263718623537314678e-01,-2.971847104958562678e-07,6.922003855519553994e-10,1.049085799769624572e+00,4.139945683496031249e-07,6.232764249455238076e-02,1.008642181155382511e+00,-6.987400739858310173e-07,3.028449078031797415e-01,3.557821253661209299e-02,4.014506325748711663e-02,-6.867102838377691932e-08
1.280555555555555669e+00,-2.379478274645176750e-01,-2.908856655713157065e-07,7.749915121995454292e-01,-2.263301215297158220e-01,-2.971299444035185781e-07,6.923317336093859353e-10,1.051887104564332098e+00,4.120539555573949417e-07,6.311198522402766686e-02,1.008412319328848561e+00,-6.985808364755626391e-07,2.755367479023279609e-01,3.508961673260648645e-02,4.013502822205648746e-02,-6.865654518485042985e-08
1.283333333333333437e+00,-2.385764352993606785e-01,-2.917109124488557115e-07,7.749915122014686686e-01,-2.262883874427733255e-01,-2.970751871549296532e-07,6.923940761016655898e-10,1.054687772745827257e+00,4.101137837810113571e-07,6.382048540274690152e-02,1.008183359385673272e+00,-6.984222237478550179e-07,2.482350378248253386e-01,3.464591914751610768e-02,4.012504669329079732e-02,-6.864210026881496404e-08
1.286111111111111205e+00,-2.392049272202171617e-01,-2.925360072413481867e-07,7.749915122033921300e-01,-2.262466600914296022e-01,-2.970204387481544993e-07,6.924782275374852247e-10,1.057487806662846808e+00,4.081740513933573485e-07,6.445316080977034345e-02,1.007955226090264667e+00,-6.982641836830127863e-07,2.209397122300358063e-01,3.424708263142133002e-02,4.011511415718721496e-02,-6.862769050831467371e-08
1.288888888888888973e+00,-2.398333032457940495e-01,-2.933609499733496762e-07,7.749915122053158134e-01,-2.262049394742106367e-01,-2.969656991812582815e-07,6.925503504007224365e-10,1.060287208452276531e+00,4.062347569140985801e-07,6.501002905468515614e-02,1.007727842841444232e+00,-6.981066632153263241e-07,1.936507115659212019e-01,3.389307045876824298e-02,4.010522601780769358e-02,-6.861331271923282849e-08
1.291666666666666741e+00,-2.404615633947941589e-01,-2.941857406694114298e-07,7.749915122072397189e-01,-2.261632255896428578e-01,-2.969109684523071705e-07,6.926684122110504660e-10,1.063085980035593625e+00,4.042958990121255813e-07,6.549110759404561111e-02,1.007501131787086779e+00,-6.979496084124886146e-07,1.663679822412129639e-01,3.358384628944680733e-02,4.009537760415735064e-02,-6.859896366545695851e-08
1.294444444444444509e+00,-2.410897076859162269e-01,-2.950103793540792448e-07,7.749915122091639574e-01,-2.261215184362531661e-01,-2.968562465593689253e-07,6.927701953762799292e-10,1.065884123115654836e+00,4.023574765077789544e-07,6.589641374826399334e-02,1.007275013951058007e+00,-6.977929645635317696e-07,1.390914767841053834e-01,3.331937412883744648e-02,4.008556417780069492e-02,-6.858464006415510204e-08
1.297222222222222276e+00,-2.417177361378549105e-01,-2.958348660518935715e-07,7.749915122110883070e-01,-2.260798180125688228e-01,-2.968015335005106169e-07,6.928184345666998922e-10,1.068681639173860498e+00,4.004194883748138035e-07,6.622596471891009640e-02,1.007049409371723048e+00,-6.976366762747797691e-07,1.118211539853702086e-01,3.309961828692208063e-02,4.007578094117218714e-02,-6.857033859153274431e-08
